Area Name,1970,1980,1990,2000,2010
United States,73.6,73.7,75.2,79.0,80.7
Alabama,58.6,60.0,60.4,55.4,59.0
Alaska,56.9,64.3,67.5,65.6,66.0
Arizona,79.6,83.8,87.5,88.2,89.8
Arkansas,50.0,51.6,53.5,52.5,56.2
California,90.9,91.3,92.6,94.4,95.0
Colorado,78.5,80.6,82.4,84.5,86.2
Connecticut,78.4,78.8,79.1,87.7,88.0
Delaware,72.2,70.6,73.0,80.1,83.3
District of Columbia,100.0,100.0,100.0,100.0,100.0
Florida,81.7,84.3,84.8,89.3,91.2
Georgia,60.3,62.4,63.2,71.6,75.1
Hawaii,83.1,86.5,89.0,91.5,91.9
Idaho,54.1,54.0,57.4,66.4,70.6
Illinois,83.2,83.3,84.6,87.8,88.5
Indiana,64.9,64.2,64.9,70.8,72.4
Iowa,57.2,58.6,60.6,61.1,64.0
Kansas,66.1,66.7,69.1,71.4,74.2
Kentucky,52.3,50.9,51.8,55.8,58.4
Louisiana,66.5,68.6,68.1,72.6,73.2
Maine,50.8,47.5,44.6,40.2,38.7
Maryland,76.6,80.3,81.3,86.1,87.2
Massachusetts,84.6,83.8,84.3,91.4,92.0
Michigan,74.0,70.7,70.5,74.7,74.6
Minnesota,66.5,66.9,69.9,70.9,73.3
Mississippi,44.5,47.3,47.1,48.8,49.4
Missouri,70.1,68.1,68.7,69.4,70.4
Montana,53.4,52.9,52.5,54.1,55.9
Nebraska,61.5,62.9,66.1,69.8,73.1
Nevada,80.9,85.3,88.3,91.5,94.2
New Hampshire,56.4,52.2,51.0,59.3,60.3
New Jersey,88.9,89.0,89.4,94.4,94.7
New Mexico,69.8,72.1,73.0,75.0,77.4
New York,85.7,84.6,84.3,87.5,87.9
North Carolina,45.5,48.0,50.4,60.2,66.1
North Dakota,44.3,48.8,53.3,55.9,59.9
Ohio,75.3,73.3,74.1,77.4,77.9
Oklahoma,68.0,67.3,67.7,65.3,66.2
Oregon,67.1,67.9,70.5,78.7,81.0
Pennsylvania,71.5,69.3,68.9,77.1,78.7
Rhode Island,87.1,87.0,86.0,90.9,90.7
South Carolina,48.3,54.1,54.6,60.5,66.3
South Dakota,44.6,46.4,50.0,51.9,56.7
Tennessee,59.1,60.4,60.9,63.6,66.4
Texas,79.7,79.6,80.3,82.5,84.7
Utah,80.4,84.4,87.0,88.2,90.6
Vermont,32.2,33.8,32.2,38.2,38.9
Virginia,63.2,66.0,69.4,73.0,75.5
Washington,73.4,73.5,76.4,82.0,84.1
West Virginia,39.1,36.2,36.1,46.1,48.7
Wisconsin,65.9,64.2,65.7,68.3,70.2
Wyoming,60.5,62.7,65.0,65.1,64.8